the_geom,cartodb_id,dt_start,dt_end,fishfry_uuid
,2653,2017-03-31 15:00:00+00,2017-04-01 03:45:00+00,1a668247-15ad-436a-8263-1e585d9aab6c
,2654,2017-04-14 15:00:00+00,2017-04-15 03:45:00+00,1a668247-15ad-436a-8263-1e585d9aab6c
,2655,2017-03-03 16:00:00+00,2017-03-03 16:00:00+00,1a668247-15ad-436a-8263-1e585d9aab6c
,2656,2017-03-17 15:00:00+00,2017-03-18 03:45:00+00,1a668247-15ad-436a-8263-1e585d9aab6c
,2657,2017-03-10 16:00:00+00,2017-03-11 04:45:00+00,1a668247-15ad-436a-8263-1e585d9aab6c
,2658,2017-04-07 15:00:00+00,2017-04-08 03:45:00+00,1a668247-15ad-436a-8263-1e585d9aab6c
,2659,2017-03-01 16:00:00+00,2017-03-02 03:00:00+00,1a668247-15ad-436a-8263-1e585d9aab6c
,2660,2017-03-24 15:00:00+00,2017-03-25 03:45:00+00,a5c29070-f837-47f4-b879-a251531b521e
,2661,2017-03-31 15:00:00+00,2017-04-01 03:45:00+00,a5c29070-f837-47f4-b879-a251531b521e
,2662,2017-04-14 15:00:00+00,2017-04-15 03:45:00+00,a5c29070-f837-47f4-b879-a251531b521e
,2663,2017-03-03 16:00:00+00,2017-03-03 16:00:00+00,a5c29070-f837-47f4-b879-a251531b521e
,2664,2017-03-17 15:00:00+00,2017-03-18 03:45:00+00,a5c29070-f837-47f4-b879-a251531b521e
,2665,2017-03-10 16:00:00+00,2017-03-11 04:45:00+00,a5c29070-f837-47f4-b879-a251531b521e
,2666,2017-04-07 15:00:00+00,2017-04-08 03:45:00+00,a5c29070-f837-47f4-b879-a251531b521e
,2667,2017-03-01 16:00:00+00,2017-03-02 03:00:00+00,a5c29070-f837-47f4-b879-a251531b521e
,2668,2017-02-24 16:00:00+00,2017-02-25 00:00:00+00,d931a069-b80f-41f8-852c-bcbb58c9d78e
,2669,2017-04-07 15:00:00+00,2017-04-07 23:00:00+00,d931a069-b80f-41f8-852c-bcbb58c9d78e
,2670,2017-03-31 15:00:00+00,2017-03-31 23:00:00+00,d931a069-b80f-41f8-852c-bcbb58c9d78e
,2671,2017-03-03 16:00:00+00,2017-03-04 00:00:00+00,d931a069-b80f-41f8-852c-bcbb58c9d78e
,2672,2017-03-24 15:00:00+00,2017-03-24 23:00:00+00,d931a069-b80f-41f8-852c-bcbb58c9d78e
,2673,2017-03-17 15:00:00+00,2017-03-17 23:00:00+00,d931a069-b80f-41f8-852c-bcbb58c9d78e
,2674,2017-03-10 16:00:00+00,2017-03-11 00:00:00+00,d931a069-b80f-41f8-852c-bcbb58c9d78e
,2675,2017-03-24 20:00:00+00,2017-03-25 06:00:00+00,b8290cf8-b715-4761-b13f-abb0c859095f
,2676,2017-03-31 20:00:00+00,2017-04-01 06:00:00+00,b8290cf8-b715-4761-b13f-abb0c859095f
,2677,2017-03-17 20:00:00+00,2017-03-18 06:00:00+00,b8290cf8-b715-4761-b13f-abb0c859095f
,2678,2017-03-03 21:00:00+00,2017-03-04 07:00:00+00,b8290cf8-b715-4761-b13f-abb0c859095f
,2679,2017-04-14 20:00:00+00,2017-04-15 06:00:00+00,b8290cf8-b715-4761-b13f-abb0c859095f
,2680,2017-04-07 20:00:00+00,2017-04-08 06:00:00+00,b8290cf8-b715-4761-b13f-abb0c859095f
,2681,2017-03-10 21:00:00+00,2017-03-11 07:00:00+00,b8290cf8-b715-4761-b13f-abb0c859095f
,4226,2017-04-14 15:00:00+00,2017-04-15 03:45:00+00,1f40479c-f16b-44c9-ba84-1aa7a884f2a5
,2683,2017-03-24 20:30:00+00,2017-03-24 23:30:00+00,32
,2684,2017-03-03 21:30:00+00,2017-03-04 00:30:00+00,32
,2685,2017-03-10 21:30:00+00,2017-03-11 00:30:00+00,32
,2686,2017-03-01 21:30:00+00,2017-03-02 00:30:00+00,32
,2687,2017-04-14 19:30:00+00,2017-04-14 23:30:00+00,32
,2688,2017-04-07 20:30:00+00,2017-04-07 23:30:00+00,32
,2689,2017-03-17 20:30:00+00,2017-03-17 23:30:00+00,32
,2690,2017-03-31 20:30:00+00,2017-03-31 23:30:00+00,32
,2691,2017-03-10 16:00:00+00,2017-03-11 01:00:00+00,68
,2692,2017-03-03 16:00:00+00,2017-03-04 01:00:00+00,68
,2693,2017-03-17 15:00:00+00,2017-03-18 00:00:00+00,68
,2694,2017-03-24 15:00:00+00,2017-03-25 00:00:00+00,68
,2695,2017-03-31 15:00:00+00,2017-04-01 00:00:00+00,68
,2696,2017-04-14 15:00:00+00,2017-04-15 00:00:00+00,68
,2697,2017-03-01 22:00:00+00,2017-03-02 01:00:00+00,68
,2698,2017-04-07 15:00:00+00,2017-04-08 00:00:00+00,68
,2699,2017-03-10 21:00:00+00,2017-03-11 00:00:00+00,bf2e28cc-537f-411f-86f2-5bfc8fdf0f5d
,2700,2017-03-24 20:00:00+00,2017-03-24 23:00:00+00,bf2e28cc-537f-411f-86f2-5bfc8fdf0f5d
,2701,2017-03-03 21:00:00+00,2017-03-04 00:00:00+00,bf2e28cc-537f-411f-86f2-5bfc8fdf0f5d
,2702,2017-04-07 20:00:00+00,2017-04-07 23:00:00+00,bf2e28cc-537f-411f-86f2-5bfc8fdf0f5d
,2703,2017-03-31 20:00:00+00,2017-03-31 23:00:00+00,bf2e28cc-537f-411f-86f2-5bfc8fdf0f5d
,2704,2017-03-17 20:00:00+00,2017-03-17 23:00:00+00,bf2e28cc-537f-411f-86f2-5bfc8fdf0f5d
,3423,2017-03-03 21:00:00+00,2017-03-04 00:00:00+00,22
,3424,2017-03-31 20:00:00+00,2017-03-31 23:00:00+00,22
,3491,2017-03-17 20:00:00+00,2017-03-17 23:00:00+00,30
,3492,2017-03-24 20:00:00+00,2017-03-24 23:00:00+00,30
,3493,2017-03-03 21:00:00+00,2017-03-04 00:00:00+00,30
,3494,2017-03-10 21:00:00+00,2017-03-11 00:00:00+00,30
,3495,2017-03-31 20:00:00+00,2017-03-31 23:00:00+00,30
,2712,2017-03-01 17:00:00+00,2017-03-01 23:30:00+00,50
,4227,2017-03-03 16:00:00+00,2017-03-04 04:45:00+00,1f40479c-f16b-44c9-ba84-1aa7a884f2a5
,3496,2017-04-07 20:00:00+00,2017-04-07 23:00:00+00,30
,4355,2017-04-07 20:00:00+00,2017-04-07 23:00:00+00,66
,4356,2017-04-14 20:00:00+00,2017-04-14 23:00:00+00,66
,4357,2017-03-24 20:00:00+00,2017-03-24 23:00:00+00,66
,4358,2017-03-31 20:00:00+00,2017-03-31 23:00:00+00,66
,4359,2017-04-07 20:00:00+00,2017-04-07 23:00:00+00,66
,4360,2017-04-14 20:00:00+00,2017-04-14 23:00:00+00,66
,4361,2017-03-24 20:00:00+00,2017-03-24 23:00:00+00,66
,4362,2017-03-31 20:00:00+00,2017-03-31 23:00:00+00,66
,4383,2017-03-31 15:00:00+00,2017-03-31 23:00:00+00,69
,4384,2017-04-07 15:00:00+00,2017-04-07 23:00:00+00,69
,4409,2017-04-07 16:00:00+00,2017-04-07 23:00:00+00,2ade5b3b-f389-4602-aeaf-f9891a67463e
,4410,2017-03-31 16:00:00+00,2017-03-31 23:00:00+00,2ade5b3b-f389-4602-aeaf-f9891a67463e
,4411,2017-04-07 19:00:00+00,2017-04-08 01:00:00+00,3d039985-6576-4179-939c-ce015ee5cd05
,4412,2017-04-14 19:00:00+00,2017-04-15 01:00:00+00,3d039985-6576-4179-939c-ce015ee5cd05
,4413,2017-03-31 19:00:00+00,2017-04-01 01:00:00+00,3d039985-6576-4179-939c-ce015ee5cd05
,2719,2017-03-10 15:00:00+00,2017-03-11 00:00:00+00,32363f21-94bd-4f93-bcee-f8498c62cb2e
,2720,2017-03-01 15:00:00+00,2017-03-02 00:00:00+00,32363f21-94bd-4f93-bcee-f8498c62cb2e
,2721,2017-03-17 14:00:00+00,2017-03-17 23:00:00+00,32363f21-94bd-4f93-bcee-f8498c62cb2e
